Code,Laterality,Contrast,XR#Views,description,modality,bodyRegion
RM00715,N/A,N/A,1,IR BONE MARROW ASPIRATION WITH IMAGING GUIDANCE,IR,ENTIRE BODY
RM00716,N/A,N/A,1,IR BILIARY BIOPSY WITH IMAGING GUIDANCE,IR,ABDOMEN
RM00717,N/A,N/A,1,IR BONE MARROW BIOPSY WITH IMAGING GUIDANCE,IR,ENTIRE BODY
RM00718,N/A,N/A,1,IR URETERAL BIOPSY WITH IMAGING GUIDANCE,IR,ABDOMEN
RM00719,N/A,N/A,1,IR KIDNEY CRYOABLATION WITH IMAGING GUIDANCE,IR,ABDOMEN
RM00720,N/A,N/A,1,IR LIVER CRYOABLATION WITH IMAGING GUIDANCE,IR,ABDOMEN
RM00721,N/A,N/A,1,IR LUNG CRYOABLATION WITH IMAGING GUIDANCE,IR,CHEST
RM00722,N/A,N/A,1,IR DRAINAGE WITH IMAGING GUIDANCE,IR,UNCLASSIFIED
RM00723,N/A,N/A,1,IR EPIDURAL INJECTION WITH IMAGING GUIDANCE,IR,LUMBAR SPINE
RM00724,N/A,N/A,1,IR CENTRAL VENOUS CATHETER INJECTION,IR,UNCLASSIFIED
RM00725,N/A,N/A,1,IR LUMBAR SPINE KYPHOPLASTY WITH IMAGING GUIDANCE,IR,LUMBAR SPINE
RM00726,N/A,N/A,1,IR THORACIC SPINE KYPHOPLASTY WITH IMAGING GUIDANCE,IR,THORACIC SPINE/LUMBAR SPINE
RM00727,N/A,N/A,1,IR LUMBAR PUNCTURE WITH IMAGING GUIDANCE,IR,LUMBAR SPINE
RM00728,N/A,N/A,1,IR NEEDLE PLACEMENT WITH GUIDANCE,IR,UNCLASSIFIED
RM00729,N/A,N/A,1,IR PARACENTESIS WITH IMAGING GUIDANCE,IR,ABDOMEN
RM00730,N/A,N/A,1,IR CERVICAL SPINE PUNCTURE WITH IMAGING GUIDANCE DIAGNOSTIC,IR,CERVICAL SPINE
RM00731,N/A,N/A,1,IR KIDNEY RADIOFREQUENCY ABLATION WITH IMAGING GUIDANCE,IR,ABDOMEN
RM00732,N/A,N/A,1,IR LIVER RADIOFERQUENCY ABLATION WITH IMAGING GUIDANCE,IR,ABDOMEN
RM00733,N/A,N/A,1,IR LUNG RADIOFREQUENCY ABLATION WITH IMAGING GUIDANCE,IR,CHEST
RM00734,N/A,N/A,1,IR LUNG PLEURA RADIOFREQUENCY ABLATION WITH IMAGING GUIDANCE,IR,CHEST
RM00735,N/A,N/A,1,IR THORACENTESIS WITH IMAGING GUIDANCE,IR,CHEST
RM00736,N/A,N/A,1,IR ABDOMEN FIDUCIAL PLACEMENT WITH IMAGING GUIDANCE,IR,ABDOMEN
RM00737,N/A,N/A,1,IR PARACENTESIS TUBE PLACEMENT WITH IMAGING GUIDANCE,IR,ABDOMEN
RM00738,N/A,N/A,1,IR AORTA PERCUTANEOUS TRANSLUMINAL ANGIOPLASTY WITH IMAGING GUIDANCE,IR,CHEST
RM00739,N/A,N/A,1,IR GANGLION CYST ASPIRATION WITH IMAGING GUIDANCE,IR,UNCLASSIFIED
RM00740,N/A,N/A,1,IR ARTERIOVENOUS FISTULA TREATMENT WITH IMAGING GUIDANCE,IR,UNCLASSIFIED
RM00741,N/A,N/A,1,IR BRACHIOCEPHALIC ARTERY PERCUTANEOUS TRANSLUMINAL ANGIOPLASTY WITH IMAGING GUIDANCE,IR,NECK
RM00742,N/A,N/A,1,IR BONE BIOPSY DEEP WITH IMAGING GUIDANCE,IR,ENTIRE BODY
RM00743,N/A,N/A,1,IR BIOPSY FINE NEEDLE WITH IMAGING GUIDANCE,IR,UNCLASSIFIED
RM00744,N/A,N/A,1,IR TRANSCATHETER BIOPSY WITH IMAGING GUIDANCE,IR,UNCLASSIFIED
RM00745,N/A,N/A,1,IR PERICATHETER FIBRIN SHEATH REMOVAL WITH IMAGING GUIDANCE,IR,UNCLASSIFIED
RM00746,N/A,N/A,1,IR TRANSCATHETER STENT PLACEMENT WITH IMAGING GUIDANCE,IR,UNCLASSIFIED
RM00747,N/A,N/A,1,IR THORACENTESIS TUBE PLACEMENT WITH IMAGING GUIDANCE,IR,CHEST
RM00748,N/A,N/A,1,IR CHEST PORT PLACEMENT WITH IMAGING GUIDANCE,IR,CHEST
RM00749,N/A,N/A,1,IR CHEST PORT REPLACEMENT WITH IMAGING GUIDANCE,IR,CHEST
RM00750,N/A,N/A,1,IR CHEST TUBE CHECK WITH THROMBOLYTIC WITH IMAGING GUIDANCE ADDITIONAL DAY,IR,CHEST
RM00751,N/A,N/A,1,IR CHEST TUBE CHECK WITH THROMBOLYTIC WITH IMAGING GUIDANCE INTIAL DAY,IR,CHEST
RM00752,N/A,N/A,1,IR CHEST TUBE PLACEMENT WITH IMAGING GUIDANCE,IR,CHEST
RM00753,N/A,N/A,1,IR CHEST TUBE EXCHANGE WITH IMAGING GUIDANCE,IR,CHEST
RM00754,N/A,N/A,1,IR CELIAC PLEXUS NERVE BLOCK WITH IMAGING GUIDANCE,IR,ABDOMEN
RM00755,N/A,N/A,1,IR CENTRAL VENOUS CATHETER REPOSITION WITH IMAGING GUIDANCE,IR,UNCLASSIFIED
RM00756,N/A,N/A,1,IR NON-TUNNELED CENTRAL VENOUS CATHETER EXCHANGE WITH IMAGING GUIDANCE,IR,UNCLASSIFIED
RM00757,N/A,N/A,1,IR TUNNELED CENTRAL VENOUS CATHETER PLACEMENT WITH IMAGING GUIDANCE,IR,UNCLASSIFIED
RM00758,N/A,N/A,1,IR TUNNELED CENTRAL VENOUS CATHETER REMOVAL WITH IMAGING GUIDANCE,IR,UNCLASSIFIED
RM00759,N/A,N/A,1,IR TUNNELED CENTRAL VENOUS CATHETER REPAIR WITH IMAGING GUIDANCE,IR,UNCLASSIFIED
RM00760,N/A,N/A,1,IR TUNNELED CENTRAL VENOUS CATHETER EXCHANGE WITH IMAGING GUIDANCE,IR,UNCLASSIFIED
RM00761,N/A,N/A,1,IR DIALYSIS ARTERY/ARTERIAL ANASTOMOSIS PERCUTANEOUS TRANSLUMINAL ANGIOPLASTY WITH IMAGING GUIDANCE,IR,UNCLASSIFIED
RM00762,N/A,N/A,1,IR DIALYSIS VEIN PERCUTANEOUS TRANSLUMINAL ANGIOPLASTY WITH IMAGING GUIDANCE,IR,UNCLASSIFIED
RM00763,N/A,N/A,1,IR DENVER SHUNT CHECK WITH IMAGING GUIDANCE,IR,HEAD
RM00764,N/A,N/A,1,IR DENVER SHUNT PLACEMENT WITH IMAGING GUIDANCE,IR,HEAD
RM00765,N/A,N/A,1,IR DENVER SHUNT REMOVAL WITH IMAGING GUIDANCE,IR,HEAD
RM00766,N/A,N/A,1,IR DENVER SHUNT REVISION WITH IMAGING GUIDANCE,IR,HEAD
RM00767,N/A,N/A,1,IR FACET INJECTION WITH IMAGING GUIDANCE,IR,LUMBAR SPINE
RM00768,N/A,N/A,1,IR FALLOPIAN TUBE DILATION WITH IMAGING GUIDANCE,IR,PELVIS
RM00769,N/A,N/A,1,IR CHOLECYSTOSTOMY WITH IMAGING GUIDANCE,IR,ABDOMEN
RM00770,N/A,N/A,1,IR G TUBE TO G-J TUBE CONVERSION WITH IMAGING GUIDANCE,IR,ABDOMEN
RM00771,N/A,N/A,1,IR G-J TUBE PLACEMENT WITH IMAGING GUIDANCE,IR,ABDOMEN
RM00772,N/A,N/A,1,IR G-J TUBE EXCHANGE WITH IMAGING GUIDANCE,IR,ABDOMEN
RM00773,N/A,N/A,1,IR G-TUBE PLACEMENT WITH IMAGING GUIDANCE,IR,ABDOMEN
RM00774,N/A,N/A,1,IR G TUBE EXCHANGE WITH IMAGING GUIDANCE,IR,ABDOMEN
RM00775,N/A,N/A,1,IR BILIARY CATHETER RETRIEVAL WITH IMAGING GUIDANCE,IR,ABDOMEN
RM00776,N/A,N/A,1,IR BILIARY STRICTURE DILATION WITH IMAGING GUIDANCE,IR,ABDOMEN
RM00777,N/A,N/A,1,IR PERCUTANEOUS BILIARY DRAINAGE PLACEMENT WITH IMAGING GUIDANCE,IR,ABDOMEN
RM00778,N/A,N/A,1,IR PERCUTANEOUS BILIARY DRAINAGE REVISION WITH IMAGING GUIDANCE,IR,ABDOMEN
RM00779,N/A,N/A,1,IR CHOLANGIOSCOPY WITH IMAGING GUIDANCE,IR,ABDOMEN
RM00780,N/A,N/A,1,IR CHOLANGIOSCOPY STONE REMOVAL WITH IMAGING GUIDANCE,IR,ABDOMEN
RM00781,N/A,N/A,1,IR BILIARY STONE REMOVAL WITH IMAGING GUIDANCE,IR,ABDOMEN
RM00782,N/A,N/A,1,IR BILIARY TUBE CHECK WITH IMAGING GUIDANCE,IR,ABDOMEN
RM00783,N/A,N/A,1,IR INTERCOSTAL NERVE BLOCK WITH IMAGING GUIDANCE,IR,CHEST
RM00784,N/A,N/A,1,IR ILIAC ARTERY ENDOGRAFT WITH IMAGING GUIDANCE,IR,LOWER EXTREMITY
RM00785,N/A,N/A,1,IR ILIAC ARTERY PERCUTANEOUS TRANSLUMINAL ANGIOPLASTY WITH IMAGING GUIDANCE EACH ADDITIONAL VESSEL,IR,LOWER EXTREMITY
RM00786,N/A,N/A,1,IR ILIAC ARTERY PERCUTANEOUS TRANSLUMINAL ANGIOPLASTY WITH IMAGING GUIDANCE,IR,LOWER EXTREMITY
RM00787,N/A,N/A,1,IR ILIAC ARTERY STENT PLACEMENT WITH IMAGING GUIDANCEEACH ADDITIONAL VESSEL,IR,LOWER EXTREMITY
RM00788,N/A,N/A,1,IR ILIAC ARTERY STENT PLACEMENT WITH IMAGING GUIDANCE INITIAL VESSEL,IR,LOWER EXTREMITY
RM00789,N/A,N/A,1,IR URETEROSTOMY EXCHANGE THROUGH ILEAL CONDUIT WITH IMAGING GUIDANCE,IR,ABDOMEN
RM00790,N/A,N/A,1,IR VESSEL INFUSION NON-THROMBOLYTIC WITH IMAGING GUIDANCE,IR,UNCLASSIFIED
RM00791,N/A,N/A,1,IR INJECTION PLATELET RICH PLASMA WITH IMAGING GUIDANCE,IR,UNCLASSIFIED
RM00792,N/A,N/A,1,IR VESSEL THROMBOLYTIC INFUSION WITH IMAGING GUIDANCE ADDITIONAL DAY,IR,UNCLASSIFIED
RM00793,N/A,N/A,1,IR VESSEL THROMBOLYTIC INFUSION WITH IMAGING GUIDANCE FINAL DAY,IR,UNCLASSIFIED
RM00794,N/A,N/A,1,IR ARTERY THROMBOLYTIC INFUSION WITH IMAGING GUIDANCE INITIAL DAY,IR,UNCLASSIFIED
RM00795,N/A,N/A,1,IR INJECTION TRIGGER POINT WITH IMAGING GUIDANCE 1 TO 2 MUSCLES,IR,UNCLASSIFIED
RM00796,N/A,N/A,1,IR INJECTION TRIGGER POINT WITH IMAGING GUIDANCE 3 OR MORE MUSCLES,IR,UNCLASSIFIED
RM00797,N/A,N/A,1,IR INFERIOR VENA CAVA FILTER PLACEMENT WITH IMAGING GUIDANCE,IR,ABDOMEN
RM00798,N/A,N/A,1,IR INFERIOR VENA CAVA FILTER REMOVAL WITH IMAGING GUIDANCE,IR,ABDOMEN
RM00799,N/A,N/A,1,IR INFERIOR VENA CAVA FILTER REPOSITION WITH IMAGING GUIDANCE,IR,ABDOMEN
RM00800,N/A,N/A,1,IR J TUBE EXCHANGE WITH IMAGING GUIDANCE,IR,ABDOMEN
RM00801,N/A,N/A,1,IR INTERMEDIATE JOINT ARTHROCENTESIS WITH IMAGING GUIDANCE,IR,UNCLASSIFIED
RM00802,N/A,N/A,1,IR RENAL ARTERY PERCUTANEOUS TRANSLUMINAL ANGIOPLASTY WITH IMAGING GUIDANCE,IR,ABDOMEN
RM00803,N/A,N/A,1,IR PERCUTANEOUS NEPHROURETERAL STENT PLACEMENT WITH IMAGING GUIDANCE,IR,ABDOMEN
RM00804,N/A,N/A,1,IR PERCUTANEOUS NEPHROURETERAL STENT REMOVAL WITH IMAGING GUIDANCE,IR,ABDOMEN
RM00805,N/A,N/A,1,IR PERCUTANOUS NEPHROURETERAL STENT EXCHANGE WITH IMAGING GUIDANCE,IR,ABDOMEN
RM00806,N/A,N/A,1,IR NEPHROSTOMY PLACEMENT WITH IMAGING GUIDANCE,IR,ABDOMEN
RM00807,N/A,N/A,1,IR VERTEBRAL KYPHOPLASTY WITH IMAGING GUIDANCE 1 LEVEL,IR,LUMBAR SPINE
RM00808,N/A,N/A,1,IR FEMORAL POPLITEAL ARTERIES PERCUTANEOUS TRANSLUMINAL ANGIOPLASTY WITH IMAGING GUIDANCE UNILATERAL,IR,FEMUR/LOWER EXTREMITY
RM00809,N/A,N/A,1,IR FEMORAL POPLITEAL ARTERY STENT PLACEMENT WITH IMAGING GUIDANCE UNILATERAL,IR,FEMUR/LOWER EXTREMITY
RM00810,N/A,N/A,1,IR LYMPHATIC LIGATION,IR,UNCLASSIFIED
RM00811,N/A,N/A,1,IR LUMBAR SPINE KYPHOPLASTY WITH IMAGING GUIDANCE EACH ADDITIONAL LEVEL,IR,LUMBAR SPINE
RM00812,N/A,N/A,1,IR LUMBAR SPINE VERTEBROPLASTY WITH IMAGING GUIDANCE ADDITIONAL LEVEL,IR,LUMBAR SPINE
RM00813,N/A,N/A,1,IR LUMBAR SPINE VERTEBROPLASTY WITH IMAGING GUIDANCE 1 LEVEL,IR,LUMBAR SPINE
RM00814,N/A,N/A,1,IR LUNG MICROWAVE ABLATION WITH IMAGING GUIDANCE,IR,CHEST
RM00815,N/A,N/A,1,IR LUNG FIDUCIAL PLACEMENT WITH IMAGING GUIDANCE,IR,CHEST
RM00816,N/A,N/A,1,IR LIVER MICROWAVE ABLATION WITH IMAGING GUIDANCE,IR,ABDOMEN
RM00817,N/A,N/A,1,IR HEPATIC WEDGE PRESSURES,IR,ABDOMEN
RM00818,N/A,N/A,1,IR NERVE ROOT BLOCK WITH IMAGING GUIDANCE,IR,LUMBAR SPINE
RM00819,N/A,N/A,1,IR NERVE INJECTION WITH IMAGING GUIDANCE,IR,UNCLASSIFIED
RM00820,N/A,N/A,1,IR PERCUTANEOUS CHOLANGIOGRAM WITH IMAGING GUIDANCE,IR,ABDOMEN
RM00821,N/A,N/A,1,IR PERITONEAL CATHETER PLACEMENT WITH IMAGING GUIDANCE,IR,ABDOMEN
RM00822,N/A,N/A,1,IR PERITONEAL CATHETER REMOVAL WITH IMAGING GUIDANCE,IR,ABDOMEN
RM00823,N/A,N/A,1,IR PERITONEAL CATHETER REPOSITION WITH IMAGING GUIDANCE,IR,ABDOMEN
